Nested Sampling Global Log-Evidence           :    0.745243607827223514E+03  +/-    0.198860498232598243E+00
Nested Importance Sampling Global Log-Evidence:    0.744325282493399300E+03  +/-    0.311215013307899017E-01

Dim No.       Mean        Sigma
   1    0.715532562930559521E+02    0.268860152101868921E+00
   2    0.327344682384691055E+00    0.671196395055896067E-01
   3   -0.698645377761039854E+00    0.895101295437314148E-01
   4   -0.160451098303809303E+01    0.861152531675694721E+00
   5    0.134738308747959640E+00    0.368243200295753853E-02
   6    0.247139155236855634E+01    0.493038997745592830E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.715633222262847681E+02
   2    0.354557045443878838E+00
   3   -0.703429804093796296E+00
   4   -0.201708210809972321E+01
   5    0.136293925871526445E+00
   6    0.248112293948314289E+01

MAP Parameters
Dim No.        Parameter
   1    0.715633222262847681E+02
   2    0.354557045443878838E+00
   3   -0.703429804093796296E+00
   4   -0.201708210809972321E+01
   5    0.136293925871526445E+00
   6    0.248112293948314289E+01
