    0.527061194181442261E+02    0.126661741733551020E+00   -0.260466992855072021E+01   -0.494912981986999512E+00    0.957738280296325684E+00    0.486778664588928223E+01   -0.683156081585079519E+05   -0.599146350544150419E+01    1
    0.507422834634780884E+02    0.618120491504669176E-01   -0.215855097770690918E+01   -0.167056918144226074E+00    0.320936262607574463E+00    0.101859188079833984E+01   -0.681266691915959091E+05   -0.599396350544151701E+01    1
    0.508559554815292358E+02    0.293377563357353155E+00   -0.266245186328887939E+01   -0.131908822059631348E+01    0.824022710323333740E+00    0.126589131355285645E+01   -0.627650824628420087E+05   -0.599646350544151119E+01    1
    0.566683202981948853E+02    0.112582024931907651E+00   -0.282810133695602417E+01   -0.261623775959014893E+01    0.213098049163818359E+00    0.207797384262084961E+01   -0.513227807867676238E+05   -0.599896350544152046E+01    1
    0.539411783218383789E+02    0.235710710287094116E+00   -0.234852898120880127E+01   -0.309578776359558105E+00    0.881663560867309570E+00    0.288723087310791016E+01   -0.510572899099854403E+05   -0.600146350544151552E+01    1
    0.956564605236053467E+02    0.675910481810569674E+00   -0.120206809043884277E+01    0.270409584045410156E+00    0.960796654224395752E+00    0.440433120727539062E+01   -0.508976187840585844E+05   -0.600396350544151680E+01    1
    0.575215607881546021E+02    0.157470887899398782E+00   -0.255496984720230103E+01    0.148857522010803223E+01    0.818192958831787109E+00    0.157133483886718750E+01   -0.487343899903027486E+05   -0.600646350544151897E+01    1
    0.542288452386856079E+02    0.182450565695762623E+00   -0.201620256900787354E+01    0.316733121871948242E-01    0.858324587345123291E+00    0.317532467842102051E+01   -0.477606823048191800E+05   -0.600896350544151403E+01    1
    0.521788686513900757E+02    0.964465260505676242E-01   -0.133153903484344482E+01    0.240619432926177979E+01    0.926286399364471436E+00    0.364923810958862305E+01   -0.467630981420845783E+05   -0.601146350544152774E+01    1
    0.602550774812698364E+02    0.887357741594314575E-01   -0.299978685379028320E+01    0.118869960308074951E+01    0.698657870292663574E+00    0.385974884033203125E+01   -0.459182410485547080E+05   -0.601396350544150771E+01    1
