    0.708327203989028931E+02    0.752733886241912786E-01   -0.432859957218170166E+00    0.896187961101531982E+00    0.398843050003051758E+01   -0.100000000000000002E+31   -0.599146350544150419E+01    1
    0.608640611171722412E+02    0.637897264957427934E+00    0.385030090808868408E+00    0.771582603454589844E+00    0.165886306762695312E+01   -0.100000000000000002E+31   -0.599396350544151701E+01    1
    0.691391885280609131E+02    0.697910317778587252E+00    0.459187448024749756E+00    0.805259227752685547E+00    0.462495827674865723E+01   -0.100000000000000002E+31   -0.599646350544151119E+01    1
    0.775072842836380005E+02    0.697593632340431147E+00    0.393452167510986328E+00    0.746029675006866455E+00    0.257812452316284180E+01   -0.100000000000000002E+31   -0.599896350544152046E+01    1
    0.758959919214248657E+02    0.597003892064094543E+00    0.467617332935333252E+00    0.534250497817993164E+00    0.330741047859191895E+01   -0.100000000000000002E+31   -0.600146350544151552E+01    1
    0.941867709159851074E+02    0.100833320617675776E+00   -0.498363554477691650E+00    0.234803676605224609E+00    0.215522551536560059E+01   -0.100000000000000002E+31   -0.600396350544151680E+01    1
    0.551536858081817627E+02    0.104312521219253537E+00   -0.453978240489959717E+00    0.370733380317687988E+00    0.132816100120544434E+01   -0.100000000000000002E+31   -0.600646350544151897E+01    1
    0.619326621294021606E+02    0.862212747335433932E-01   -0.473277986049652100E+00    0.759142696857452393E+00    0.418718600273132324E+01   -0.100000000000000002E+31   -0.600896350544151403E+01    1
    0.514012694358825684E+02    0.683915370702743441E+00    0.406583487987518311E+00    0.986268877983093262E+00    0.453219318389892578E+01   -0.100000000000000002E+31   -0.601146350544152774E+01    1
    0.734322190284729004E+02    0.676053404808044434E+00    0.431410670280456543E+00    0.153219282627105713E+00    0.300771832466125488E+01   -0.100000000000000002E+31   -0.601396350544150771E+01    1
    0.946251332759857178E+02    0.669333544373512224E+00    0.356788158416748047E+00    0.798020422458648682E+00    0.318315577507019043E+01   -0.100000000000000002E+31   -0.601646350544151787E+01    1
    0.865673005580902100E+02    0.644089832901954651E+00    0.392091333866119385E+00    0.346120893955230713E+00    0.186577868461608887E+01   -0.100000000000000002E+31   -0.601896350544151471E+01    1
    0.507580399513244629E+02    0.562149277329444863E+00    0.446548104286193848E+00    0.489845037460327148E+00    0.361365222930908203E+01   -0.100000000000000002E+31   -0.602146350544151865E+01    1
    0.790253937244415283E+02    0.585019010305404596E+00    0.464049875736236572E+00    0.923101663589477539E+00    0.266730427742004395E+01   -0.100000000000000002E+31   -0.602396350544152615E+01    1
    0.677292972803115845E+02    0.646050113439559870E+00    0.478091001510620117E+00    0.866514801979064941E+00    0.119793319702148438E+01   -0.100000000000000002E+31   -0.602646350544152476E+01    1
    0.856805980205535889E+02    0.667298606038093545E+00    0.447112619876861572E+00    0.830587744712829590E+00    0.414657425880432129E+01   -0.100000000000000002E+31   -0.602896350544151538E+01    1
    0.500436872243881226E+02    0.479668799042701655E+00   -0.249428033828735352E+00    0.864804744720458984E+00    0.178568506240844727E+01   -0.460167543352952343E+05   -0.603146350544150778E+01    1
    0.507504105567932129E+02    0.104927644133567810E+00    0.481042921543121338E+00    0.933342814445495605E+00    0.334163498878479004E+01   -0.445387954893531205E+05   -0.603396350544151883E+01    1
    0.508742749691009521E+02    0.379569584131240811E+00    0.350378990173339844E+00    0.988770365715026855E+00    0.392064642906188965E+01   -0.441518525565176606E+05   -0.603646350544152543E+01    1
    0.554193675518035889E+02    0.196809774637222268E+00   -0.430980265140533447E+00    0.981770873069763184E+00    0.367390799522399902E+01   -0.438221953146423184E+05   -0.603896350544152405E+01    1
    0.964517921209335327E+02    0.537490469217300371E+00    0.117010354995727539E+00    0.847835719585418701E+00    0.412630391120910645E+01   -0.435235405685932928E+05   -0.604146350544151556E+01    1
    0.878355562686920166E+02    0.557135891914367631E+00    0.161658704280853271E+00    0.986427068710327148E+00    0.387522912025451660E+01   -0.408511747899749098E+05   -0.604396350544151773E+01    1
    0.969177186489105225E+02    0.242764496803283658E+00    0.715464353561401367E-02    0.981087982654571533E+00    0.258079934120178223E+01   -0.397130195305319066E+05   -0.604646350544151989E+01    1
    0.924466967582702637E+02    0.654901149868965082E+00   -0.346331775188446045E+00    0.904834389686584473E+00    0.388989591598510742E+01   -0.384243424221355672E+05   -0.604896350544152739E+01    1
    0.958734422922134399E+02    0.464879658818244890E+00    0.201968789100646973E+00    0.928141891956329346E+00    0.117816329002380371E+01   -0.381202425719943421E+05   -0.605146350544151179E+01    1
    0.541518509387969971E+02    0.648085322976112321E+00   -0.466632843017578125E+00    0.896216511726379395E+00    0.137271833419799805E+01   -0.377262965064953314E+05   -0.605396350544152728E+01    1
    0.977970361709594727E+02    0.509624668955802829E+00    0.341038107872009277E-01    0.728257715702056885E+00    0.400645780563354492E+01   -0.375336716220266608E+05   -0.605646350544151968E+01    1
    0.962073028087615967E+02    0.273549622297286965E+00    0.416735410690307617E-01    0.944964706897735596E+00    0.218126440048217773E+01   -0.367395006067657232E+05   -0.605896350544151474E+01    1
    0.561359643936157227E+02    0.479533314704894964E+00   -0.231054782867431641E+00    0.988234937191009521E+00    0.442902994155883789E+01   -0.365746545005007210E+05   -0.606146350544152135E+01    1
    0.519323617219924927E+02    0.509247273206710815E+00    0.256455063819885254E+00    0.912523925304412842E+00    0.397217488288879395E+01   -0.364510703491356180E+05   -0.606396350544152796E+01    1
    0.934457153081893921E+02    0.503539651632308960E+00    0.305320799350738525E+00    0.912359654903411865E+00    0.125371646881103516E+01   -0.361842952833539675E+05   -0.606646350544152924E+01    1
    0.565726846456527710E+02    0.408566021919250455E+00    0.398661196231842041E+00    0.966891348361968994E+00    0.139492702484130859E+01   -0.350264760768821434E+05   -0.606896350544152163E+01    1
    0.518185675144195557E+02    0.576464772224426283E-01    0.332560122013092041E+00    0.701376914978027344E+00    0.218416094779968262E+01   -0.348576298401173772E+05   -0.607146350544152913E+01    1
    0.821284115314483643E+02    0.536154183745384150E+00    0.369436204433441162E+00    0.928901612758636475E+00    0.451158285140991211E+01   -0.344229843083772939E+05   -0.607396350544152597E+01    1
    0.943947434425354004E+02    0.422596457600593500E+00    0.710297226905822754E-01    0.903383731842041016E+00    0.171043419837951660E+01   -0.343258812092426597E+05   -0.607646350544151126E+01    1
    0.534600436687469482E+02    0.453367984294891280E+00    0.699406266212463379E-01    0.887841463088989258E+00    0.342933726310729980E+01   -0.341730229822882320E+05   -0.607896350544150810E+01    1
    0.988433808088302612E+02    0.354295575618743863E+00    0.773555040359497070E-01    0.618600785732269287E+00    0.465782713890075684E+01   -0.340505990287078675E+05   -0.608146350544151293E+01    1
    0.507612019777297974E+02    0.284017986059188821E+00   -0.190506577491760254E-01    0.653436541557312012E+00    0.263058042526245117E+01   -0.337442371437137554E+05   -0.608396350544152220E+01    1
    0.568504542112350464E+02    0.627078199386596591E+00   -0.496192932128906250E+00    0.944636166095733643E+00    0.337227916717529297E+01   -0.332717809990146707E+05   -0.608646350544152792E+01    1
    0.924312829971313477E+02    0.127185121178627014E+00    0.259289145469665527E+00    0.890005707740783691E+00    0.380225086212158203E+01   -0.332185424504118491E+05   -0.608896350544152209E+01    1
    0.506435543298721313E+02    0.479215970635414046E+00   -0.336501896381378174E+00    0.562575221061706543E+00    0.160093617439270020E+01   -0.329725416677824760E+05   -0.609146350544151627E+01    1
    0.912208706140518188E+02    0.502793654799461365E+00   -0.498681068420410156E-01    0.797613322734832764E+00    0.437232756614685059E+01   -0.327473650753120382E+05   -0.609396350544152021E+01    1
    0.845323354005813599E+02    0.486821147799491816E+00    0.459912121295928955E+00    0.883649647235870361E+00    0.401626610755920410E+01   -0.326897668280375583E+05   -0.609646350544151705E+01    1
    0.581078171730041504E+02    0.179477813839912403E+00   -0.895554423332214355E-01    0.881380379199981689E+00    0.176183772087097168E+01   -0.326834477673209258E+05   -0.609896350544151211E+01    1
    0.927067875862121582E+02    0.517008700966834933E+00   -0.338095545768737793E+00    0.887496232986450195E+00    0.294930982589721680E+01   -0.325776652243774151E+05   -0.610146350544150806E+01    1
