    0.506195962429046631E+02    0.875790238380432101E-01   -0.288474851846694946E+01    0.585737347602844238E+00    0.205782032012939453E+01   -0.824202300977019040E+05   -0.599146350544150419E+01    1
    0.529454916715621948E+02    0.189877912402153015E+00   -0.260349065065383911E+01    0.801107525825500488E+00    0.178084897994995117E+01   -0.604063523520011222E+05   -0.599396350544151701E+01    1
    0.568572640419006348E+02    0.732016444206237821E-01   -0.262861454486846924E+01    0.884144544601440430E+00    0.444569063186645508E+01   -0.597459626917790010E+05   -0.599646350544151119E+01    1
    0.991182118654251099E+02    0.763767898082733099E-01   -0.126810908317565918E+00    0.903713047504425049E+00    0.281801128387451172E+01   -0.507432548828065264E+05   -0.599896350544152046E+01    1
    0.937888711690902710E+02    0.574710538983345010E+00   -0.510100364685058594E+00    0.889175176620483398E+00    0.483121728897094727E+01   -0.479980725195592458E+05   -0.600146350544151552E+01    1
    0.525691896677017212E+02    0.164895638823509216E+00   -0.294004243612289429E+01    0.403727948665618896E+00    0.470235848426818848E+01   -0.478392414484032925E+05   -0.600396350544151680E+01    1
    0.503196924924850464E+02    0.613631853461265586E+00   -0.159161245822906494E+01    0.911652803421020508E+00    0.111499714851379395E+01   -0.475710099524505495E+05   -0.600646350544151897E+01    1
    0.515317291021347046E+02    0.122388851642608640E+00   -0.187703204154968262E+01    0.346468687057495117E+00    0.171653032302856445E+01   -0.469512750086002852E+05   -0.600896350544151403E+01    1
    0.516936928033828735E+02    0.333588400483131375E+00   -0.148254221677780151E+01    0.899534642696380615E+00    0.289113283157348633E+01   -0.454062534245606803E+05   -0.601146350544152774E+01    1
    0.535646587610244751E+02    0.458333444595336870E+00   -0.191299295425415039E+01    0.938668310642242432E+00    0.167171406745910645E+01   -0.447306386290465816E+05   -0.601396350544150771E+01    1
    0.504319429397583008E+02    0.118337222933769221E+00   -0.121884673833847046E+01    0.782468378543853760E+00    0.399242401123046875E+01   -0.445274525514590787E+05   -0.601646350544151787E+01    1
    0.631102770566940308E+02    0.116942125558853138E+00   -0.295209234952926636E+01    0.879725039005279541E+00    0.356984734535217285E+01   -0.444500855094660437E+05   -0.601896350544151471E+01    1
    0.863440215587615967E+02    0.375161868333816484E+00   -0.448550283908843994E+00    0.998105704784393311E+00    0.479219722747802734E+01   -0.434540090321461757E+05   -0.602146350544151865E+01    1
    0.997158259153366089E+02    0.309225589036941473E+00   -0.887730002403259277E+00    0.900290131568908691E+00    0.319449114799499512E+01   -0.425349247367646749E+05   -0.602396350544152615E+01    1
    0.567230373620986938E+02    0.256229865550994862E+00   -0.234842956066131592E+01    0.838062465190887451E+00    0.226234030723571777E+01   -0.415362245981612068E+05   -0.602646350544152476E+01    1
