    0.715832255764979664E+02    0.357536080758442343E+00   -0.835784122534562357E+00   -0.131291100704221275E+01    0.120227772446101319E+00    0.249283291833920595E+01    0.749420163744829665E+03
    0.724373240134664229E+02    0.472983359218370925E+00   -0.115070590911118087E+01   -0.223134729763588435E+01    0.129876925946948579E+00    0.248631994821098568E+01    0.750642689396283004E+03
    0.710807694469209821E+02    0.347037712580940849E+00   -0.791478417595337103E+00   -0.457074767726522335E+00    0.124826879812952346E+00    0.246415843416575031E+01    0.751335202294128635E+03
    0.716059567539702044E+02    0.323999730583714285E+00   -0.750817278426117340E+00   -0.391540468163318778E+00    0.143034783618820993E+00    0.234514048136439168E+01    0.752840494327398915E+03
    0.715392159478101775E+02    0.424241805106745251E+00   -0.786630284540654756E+00   -0.225738404867991571E+01    0.141115236428827368E+00    0.255821428324842115E+01    0.753474150805027534E+03
    0.717030098417679937E+02    0.335367826684048354E+00   -0.652416019631725241E+00   -0.139784153492806218E+01    0.138330542290521441E+00    0.231931874188745013E+01    0.753552155446109850E+03
    0.712522213366690664E+02    0.364154193301416851E+00   -0.639997657116562202E+00   -0.157891217383145732E+01    0.131012757125326451E+00    0.247643076514316895E+01    0.753863246913034573E+03
    0.712013840719715319E+02    0.148922777429869979E+00   -0.503707026247989464E+00   -0.975654674827906021E+00    0.141757091682413822E+00    0.245538096012691831E+01    0.753930542110062788E+03
    0.712166766503955131E+02    0.418252667505605302E+00   -0.754681941932357603E+00   -0.180350490820391274E+01    0.131717949775283422E+00    0.253478149893274551E+01    0.754211802921557251E+03
    0.711025717398646151E+02    0.163502848491660524E+00   -0.462421521478136199E+00   -0.881649591634310781E+00    0.135761725875917116E+00    0.237164324479876054E+01    0.754463915328034432E+03
    0.713222191960696676E+02    0.312357944689574729E+00   -0.789541044633964351E+00   -0.662804436182128587E+00    0.131299743289938514E+00    0.250976572491823191E+01    0.754555272401654292E+03
    0.720790678596745522E+02    0.417055036148964886E+00   -0.937597589008731802E+00   -0.136121224887806669E+01    0.141888413034326255E+00    0.233137303044770805E+01    0.754748115106098453E+03
    0.715814970693300836E+02    0.132904626652361718E+00   -0.514567235744916474E+00   -0.638082209999882188E+00    0.127460622525379069E+00    0.235297659123578695E+01    0.754863871334642340E+03
    0.706802566566458097E+02    0.278444366126823328E+00   -0.472621348400466879E+00   -0.184369454607886385E+01    0.133136252461612065E+00    0.256948680505253080E+01    0.754914539027112710E+03
    0.712766358854693607E+02    0.294117743299411705E+00   -0.669251899998013045E+00   -0.131960589007408480E+01    0.134810299524345756E+00    0.240407745746665391E+01    0.755137923654616543E+03
    0.719378527386358684E+02    0.291979346359713399E+00   -0.683302863240244029E+00   -0.187596959610575942E+01    0.136271560248630907E+00    0.249507814436478714E+01    0.755154610130902824E+03
    0.721121405505861190E+02    0.233864159552478246E+00   -0.825898640576392840E+00    0.381490034656419397E+00    0.139206632691801474E+00    0.260964918291474035E+01    0.755203305320839945E+03
    0.715308144787939284E+02    0.442250283519776466E+00   -0.821688674262822438E+00   -0.268642838123434835E+01    0.123408569705460117E+00    0.240046435430005634E+01    0.755305687936461482E+03
    0.717440222988615233E+02    0.345171090412013437E+00   -0.898027467002992186E+00   -0.177622122168687113E+00    0.124716370300317486E+00    0.255133586357086450E+01    0.755365582783414197E+03
    0.714999227763788099E+02    0.351261905325688073E+00   -0.916381235031770380E+00    0.103885029939613460E+00    0.132618101559597357E+00    0.249535059866893816E+01    0.755462438981027276E+03
    0.718769008681162092E+02    0.131554713399739343E+00   -0.604016804431966037E+00   -0.441535738739532668E+00    0.133004925172529348E+00    0.250854556464991596E+01    0.755543666227092103E+03
    0.717626864303845480E+02    0.300240062762724524E+00   -0.614314035017922588E+00   -0.155160887774794798E+01    0.126821703164197025E+00    0.235070746201454917E+01    0.755622498736367788E+03
    0.721467383834703924E+02    0.391890424362991707E+00   -0.955568478836997137E+00   -0.110293351703956066E+01    0.146574292134155792E+00    0.248158479798831788E+01    0.755785130378257463E+03
    0.708324309413312676E+02    0.382541785495288111E+00   -0.559655438343332978E+00   -0.241700018012345641E+01    0.132023312289264144E+00    0.247822651157565499E+01    0.755883389281235623E+03
    0.713727626533438695E+02    0.197955436786573180E+00   -0.611976511804439571E+00   -0.362806871576337731E+00    0.142822486967565637E+00    0.257616878830872054E+01    0.755885687425027754E+03
    0.714516675583818568E+02    0.320644072033312522E+00   -0.659002176308562060E+00   -0.112833689972300100E+01    0.123523465985691361E+00    0.246694423604164825E+01    0.755887902147168575E+03
    0.714855193004340776E+02    0.242701754188402175E+00   -0.738710168265274802E+00    0.925525518635206268E-01    0.144476237216220410E+00    0.246048700601271797E+01    0.755896840618568831E+03
    0.717835163398803218E+02    0.382429803030134075E+00   -0.837969407228837060E+00   -0.236582304273172106E+01    0.132355721362909184E+00    0.254764792988430511E+01    0.755932907163434038E+03
    0.711541437095142726E+02    0.290254458954839201E+00   -0.460683121348080871E+00   -0.240423132520011906E+01    0.133671885720706651E+00    0.252550851117920150E+01    0.756127846382745474E+03
    0.713483659079742694E+02    0.258113373244276467E+00   -0.710833874333874238E+00   -0.569567804433448011E+00    0.131929536356743676E+00    0.248888422310467305E+01    0.756131879368260797E+03
    0.711856092124648399E+02    0.317223093977935466E+00   -0.623390690039367534E+00   -0.137791754265016464E+01    0.128896650630448195E+00    0.233738199353944731E+01    0.756210565279365369E+03
    0.720650330093637166E+02    0.248378179391340992E+00   -0.759122538519984680E+00   -0.483468670718240734E+00    0.141323672180196508E+00    0.257533931935092264E+01    0.756253997674399898E+03
    0.716373351603746613E+02    0.255691110167980906E+00   -0.721301082968806018E+00   -0.145647435290618965E+00    0.129289141703376881E+00    0.259777437218919793E+01    0.756275385787448499E+03
    0.713110765494036656E+02    0.468539668150773858E+00   -0.871664294700640330E+00   -0.284055830483540372E+01    0.136787414348282038E+00    0.241101096096013467E+01    0.756398089885486343E+03
    0.715235888646706712E+02    0.378005721605374490E+00   -0.680776415884621233E+00   -0.282247183546796920E+01    0.134246273229428087E+00    0.233410229272037029E+01    0.756493113457203549E+03
    0.718315332179078609E+02    0.385972962790912144E+00   -0.861413245605501920E+00   -0.170381560545608268E+01    0.147776886179854655E+00    0.247970082760170829E+01    0.756514253740848176E+03
    0.712551857294466515E+02    0.228485829397980178E+00   -0.638999863208591368E+00   -0.430977711954363851E+00    0.137349225740442421E+00    0.261682890814837243E+01    0.756555520390859328E+03
    0.719999745416409951E+02    0.381773539812351126E+00   -0.880679777863780267E+00   -0.183659207876269370E+01    0.127759969014323127E+00    0.253256256373378363E+01    0.756563446536549691E+03
    0.710702783249525680E+02    0.309700150233540583E+00   -0.611957479653416847E+00   -0.124917370694854446E+01    0.133355454630289694E+00    0.235211045167603583E+01    0.756581345853880634E+03
    0.721658086270570038E+02    0.318909696315255675E+00   -0.778173822887454847E+00   -0.860249505450771501E+00    0.127976427271226406E+00    0.238954247278032472E+01    0.756617628276212372E+03
    0.713168023374339981E+02    0.335863960135526884E+00   -0.791098528465627115E+00   -0.773618617179979484E+00    0.129762917858045085E+00    0.261585002619839191E+01    0.756650206517937477E+03
    0.722144885236287593E+02    0.205282953045317407E+00   -0.674375099338326400E+00   -0.339052964378438126E+00    0.141113522677097036E+00    0.235740098725409020E+01    0.756695402145886760E+03
    0.714913424927358676E+02    0.376974079956612973E+00   -0.722919040199581531E+00   -0.274120416342026463E+01    0.145107247446233739E+00    0.254835499709803415E+01    0.756707235280944587E+03
    0.710994010553715441E+02    0.194837687674125515E+00   -0.600591404501578996E+00   -0.561519757144678611E+00    0.130961260343134350E+00    0.252162598710483010E+01    0.756712397845872715E+03
    0.714029566469872066E+02    0.369759492053003014E+00   -0.706997311769502979E+00   -0.137521271241700838E+01    0.133988454333846374E+00    0.234833111122602034E+01    0.756748970992663999E+03
    0.721367639208001350E+02    0.270011269787442942E+00   -0.873610703654536636E+00    0.339150667958066698E+00    0.129297342869509224E+00    0.254607034426188195E+01    0.756752342315942201E+03
    0.718024701155055851E+02    0.314459945257789475E+00   -0.775709660878858287E+00   -0.110108770242227916E+01    0.130102053409260732E+00    0.240420256427379275E+01    0.756761000329624380E+03
    0.717513940071695941E+02    0.278845936244672188E+00   -0.775267556164568550E+00   -0.529908205606108851E-01    0.142803500429184105E+00    0.254607784258180025E+01    0.756762702308908501E+03
    0.720225522369425732E+02    0.292750374135450298E+00   -0.791026682422658389E+00   -0.148953333722873893E+00    0.141477696402930231E+00    0.248921883992652093E+01    0.756783011143673434E+03
