    0.720858592470079600E+02    0.381823679946231065E+00    0.129950518074251065E+00    0.261312680217016702E+01    0.748199228944520314E+03
    0.721258922645568816E+02    0.353996984810878268E+00    0.133857250389340821E+00    0.267020897065094331E+01    0.749366679055661621E+03
    0.717960790919556331E+02    0.417441608283300680E+00    0.134377061839559553E+00    0.240270942374906316E+01    0.750273027642221905E+03
    0.727015409797663210E+02    0.336725826698734354E+00    0.146601473556748879E+00    0.248393042308623890E+01    0.750377654939354898E+03
    0.719055241657009105E+02    0.368714561463033164E+00    0.123567147214474843E+00    0.258807579220467465E+01    0.750845588656141558E+03
    0.714972680011616148E+02    0.383173780923938445E+00    0.128013956489637593E+00    0.256169413680126867E+01    0.750849242387561276E+03
    0.726252347445779378E+02    0.342157941432049584E+00    0.130919173442443526E+00    0.254047090149907984E+01    0.750888106756867046E+03
    0.715133811870801992E+02    0.405000912409980873E+00    0.126629201091672167E+00    0.247365080508814472E+01    0.751133442884045962E+03
    0.716243843395050277E+02    0.372200383211185981E+00    0.131621489407637376E+00    0.263221734886930037E+01    0.751147367634335978E+03
    0.725792681371063679E+02    0.357473646080214369E+00    0.127676632150584751E+00    0.241686688798685800E+01    0.751188593938125450E+03
    0.727092277205891264E+02    0.333193329764659985E+00    0.130982415673441571E+00    0.251060219875940405E+01    0.751189115486825585E+03
    0.721682958371604855E+02    0.341048312639936957E+00    0.145935295178302782E+00    0.243406046722641367E+01    0.751189119860599362E+03
    0.715517279805208943E+02    0.380911922626686994E+00    0.139156499906465475E+00    0.260147129762738372E+01    0.751320822439871222E+03
    0.716993639784423351E+02    0.415686507923177961E+00    0.136331247364113034E+00    0.245751674375687212E+01    0.751336863928339881E+03
    0.726001267357701892E+02    0.367589591696213802E+00    0.138283849044665508E+00    0.238489603979397824E+01    0.751342469850365546E+03
    0.716544334549608095E+02    0.371709277967099072E+00    0.142035293205039659E+00    0.258975523802291763E+01    0.751448735699111353E+03
    0.723135771130547766E+02    0.384485996408122255E+00    0.138926943197855618E+00    0.232809220276053486E+01    0.751590593948458491E+03
    0.721418328588347890E+02    0.329336674206648916E+00    0.138067894955309134E+00    0.256508978304721769E+01    0.751698691780936883E+03
    0.726603706880698894E+02    0.328935316296662505E+00    0.136777805803817321E+00    0.236898242129202119E+01    0.751708814275008194E+03
    0.717908942694592724E+02    0.371304306807204998E+00    0.145906207820329259E+00    0.255421798437083858E+01    0.751728511896952114E+03
    0.722949763267657772E+02    0.359402636064502345E+00    0.124658378745856946E+00    0.252971901893508733E+01    0.751801612775979834E+03
    0.718639539342930078E+02    0.389728962522674249E+00    0.130174553263706139E+00    0.234952708022390411E+01    0.751865636602416885E+03
    0.727460320288557654E+02    0.345099617433656747E+00    0.142061585751120739E+00    0.242368137092738278E+01    0.751872376352385459E+03
    0.717920911713568870E+02    0.412405662881666302E+00    0.131781296136796261E+00    0.243613555518823333E+01    0.751873444717604116E+03
    0.717572447205103998E+02    0.395983487694797520E+00    0.133478112672023530E+00    0.235378072069510180E+01    0.751899092727901120E+03
    0.721515171503774582E+02    0.330377704307640685E+00    0.133849308008271828E+00    0.255576958421047173E+01    0.751964604141668019E+03
    0.723839779044674572E+02    0.353385938362152763E+00    0.135685605638916462E+00    0.259353704215963843E+01    0.751974924256129270E+03
    0.726161412896710630E+02    0.345262036511357895E+00    0.132458461476053002E+00    0.234929594854911716E+01    0.752070478574672734E+03
    0.726808476227811440E+02    0.347478216504115256E+00    0.144067955093309025E+00    0.239119925006461553E+01    0.752110272016493809E+03
    0.717946810104097040E+02    0.359431064234964348E+00    0.128334923729671757E+00    0.251652785921585576E+01    0.752113868112618320E+03
    0.715963134280754332E+02    0.394542731966293803E+00    0.125827528900591373E+00    0.252611443535540925E+01    0.752137525139495779E+03
    0.725500936131761165E+02    0.356396461382200602E+00    0.132533961958523849E+00    0.251061679334875976E+01    0.752138103866849633E+03
    0.717331237864368916E+02    0.390278559523468349E+00    0.140348779609358737E+00    0.258217178493772570E+01    0.752159463862474013E+03
    0.723433258880472465E+02    0.362181800657384312E+00    0.144619096507875716E+00    0.252979883728713251E+01    0.752218410075012230E+03
    0.726853113124181078E+02    0.350576474360168755E+00    0.133042407692215758E+00    0.244335094590100699E+01    0.752283619252773633E+03
    0.719764895950905839E+02    0.370623482556108219E+00    0.130502935792515012E+00    0.236229051194445461E+01    0.752318118365472969E+03
    0.722349559332780018E+02    0.382943636872976167E+00    0.138100398581412542E+00    0.231665517000986920E+01    0.752318285559857600E+03
    0.724430593520567072E+02    0.362211347044562593E+00    0.128718266124325798E+00    0.236097319653806803E+01    0.752332492028474235E+03
    0.718587965836057805E+02    0.409549678724657584E+00    0.134023180146343679E+00    0.241570488824217211E+01    0.752344850300633425E+03
    0.723759920507046246E+02    0.324294027500310778E+00    0.140936721340293142E+00    0.255931942113231159E+01    0.752383712910240661E+03
    0.723199128670681688E+02    0.370959897390740201E+00    0.146568780060368442E+00    0.242904999452945658E+01    0.752424046918926933E+03
    0.721915925112240302E+02    0.392483185316902905E+00    0.131840766063071019E+00    0.242581356407723359E+01    0.752437632435544856E+03
    0.723190594201713282E+02    0.366780514245805767E+00    0.140219066465143816E+00    0.255027959882157074E+01    0.752439915562622673E+03
    0.718206990047905123E+02    0.372896439227306364E+00    0.125444850137410413E+00    0.246129627465213474E+01    0.752441963579846288E+03
    0.725191912531723659E+02    0.334724897311617642E+00    0.146725823645973752E+00    0.242955835804865217E+01    0.752481267128368245E+03
    0.721060066106348216E+02    0.376565224442165170E+00    0.141723348184339570E+00    0.232910799179180961E+01    0.752584772243425959E+03
    0.726428908777543825E+02    0.321218380095936062E+00    0.134632569376798072E+00    0.246743028038851353E+01    0.752611209716934695E+03
    0.727752499387022738E+02    0.333849351141321304E+00    0.139308653880957811E+00    0.246051557214443051E+01    0.752614897212820779E+03
    0.717571701655843270E+02    0.383131089408840997E+00    0.130861089370769818E+00    0.239213450939052574E+01    0.752622963233105565E+03
    0.715981920639686109E+02    0.388580334023354457E+00    0.132480598448668524E+00    0.260134924531931233E+01    0.752642011118205573E+03
    0.724063116443771975E+02    0.376788731861216308E+00    0.135141691620730142E+00    0.234638688989675437E+01    0.752699470060515296E+03
    0.724097198546916445E+02    0.359715640117031388E+00    0.126243377817707919E+00    0.247242573741377569E+01    0.752701852900742324E+03
    0.723545484777371399E+02    0.328578612313329355E+00    0.133140325774356000E+00    0.246337950169125364E+01    0.752713330429203211E+03
    0.715122121899027832E+02    0.389271587959729992E+00    0.138643741850960206E+00    0.252848664770203913E+01    0.752713627410854770E+03
    0.727326671811272831E+02    0.338775554157255077E+00    0.139988262852566742E+00    0.237569382036613952E+01    0.752731659875999867E+03
    0.716049960660491820E+02    0.378217784259174294E+00    0.140210045196786592E+00    0.256249270885098834E+01    0.752734197375643362E+03
    0.725556237263840842E+02    0.352084471638641372E+00    0.145546038641435227E+00    0.239212015499692843E+01    0.752770877495529589E+03
    0.716914180192392934E+02    0.366945416909891409E+00    0.135507639416453773E+00    0.260955058203137025E+01    0.752787955279630523E+03
    0.725555140671177412E+02    0.339201187539186377E+00    0.134985356403040629E+00    0.255933578663047845E+01    0.752818085562593069E+03
    0.719474838688547322E+02    0.350397618471231242E+00    0.135386326396683215E+00    0.244993238800789825E+01    0.752820441992958195E+03
    0.716674594371803266E+02    0.367158895136195873E+00    0.137353541682604635E+00    0.258796088809033842E+01    0.752827201669315627E+03
    0.716005676620968643E+02    0.400367638298804562E+00    0.127340416280607299E+00    0.249870126727071939E+01    0.752834818048777038E+03
    0.723586777905443626E+02    0.339140731016531360E+00    0.128662976061887369E+00    0.243554479207146457E+01    0.752838282111658145E+03
    0.720667554243729853E+02    0.383754631637354959E+00    0.128909946543793563E+00    0.235442740329039113E+01    0.752859040612255285E+03
    0.717550358193647213E+02    0.405229755465461583E+00    0.134184332288798558E+00    0.251710967495461091E+01    0.752923693088871346E+03
