    0.721319292648451267E+02    0.381632368867776905E+00   -0.225439974683078748E-01    0.137405530792959057E+00    0.260205643143121801E+01    0.751620455867724672E+03
    0.726924064331559379E+02    0.258469728613822725E+00    0.186327263885680661E+00    0.138813215679949448E+00    0.245660430321305956E+01    0.751932182155963119E+03
    0.721492280075541288E+02    0.355559338437814287E+00    0.680649989431911795E-01    0.141136259255931484E+00    0.230240881170327949E+01    0.752187070556604681E+03
    0.718456789206439623E+02    0.305287852346940003E+00    0.112002342605836636E+00    0.141599080873600291E+00    0.240079515482605732E+01    0.752502059186666770E+03
    0.719611671656193153E+02    0.313391009356259631E+00    0.806715768574339798E-01    0.125150139226531176E+00    0.250460072437603865E+01    0.752706216424591730E+03
    0.715979493406231171E+02    0.311056060215498975E+00    0.244306386946238741E+00    0.126994884001495834E+00    0.243333921563879763E+01    0.753217490850057175E+03
    0.724297330650890814E+02    0.353515421516465034E+00    0.349613674418809417E-01    0.142991036854370729E+00    0.242701178226213088E+01    0.753413154346808255E+03
    0.717273110082475540E+02    0.310138718395646495E+00    0.205650889456482022E+00    0.139792265181639647E+00    0.230818635803208672E+01    0.753491991656665050E+03
    0.708808236754692871E+02    0.195911254665714296E+00    0.486786623614491321E+00    0.131163653942957731E+00    0.256352301031719509E+01    0.753616472895698848E+03
    0.724601677599633973E+02    0.376358000157595796E+00   -0.584796819823354408E-01    0.139195309476415480E+00    0.253609166499160121E+01    0.753808703265592953E+03
    0.724463577130376848E+02    0.238876150404500331E+00    0.217208478896536494E+00    0.135832806960921176E+00    0.235034630771172370E+01    0.753962237428894014E+03
    0.717527433390353622E+02    0.252921530765944536E+00    0.201589277780865883E+00    0.136957703217327503E+00    0.258339681331912674E+01    0.754062239582226880E+03
    0.715210422295711368E+02    0.213660656369902613E+00    0.376727306378647597E+00    0.120651795058185851E+00    0.250395211311475663E+01    0.754132318249412606E+03
    0.722516663523174714E+02    0.176593461932054385E+00    0.401661202925763683E+00    0.131284296926276828E+00    0.234900269730641220E+01    0.754242986750582872E+03
    0.719404410838583317E+02    0.407719406875515944E+00   -0.897442411295777398E-01    0.137977511279678638E+00    0.250246664492242576E+01    0.754323935651556326E+03
    0.709689368411687411E+02    0.209716266623831804E+00    0.486792790921822816E+00    0.133199737544259678E+00    0.251652506279681987E+01    0.754354613544609947E+03
    0.714104015992957670E+02    0.217031665236974258E+00    0.357440958329804936E+00    0.138568122420526046E+00    0.239846836036225941E+01    0.754356758115462185E+03
    0.722169631909153225E+02    0.157776279275359366E+00    0.407184136645236561E+00    0.129635870866955660E+00    0.246661508102900617E+01    0.754450243219766890E+03
    0.719316648659745255E+02    0.250661087310679487E+00    0.227283168032673899E+00    0.143506174378548262E+00    0.260744712354993080E+01    0.754518577903964228E+03
    0.723282476037034883E+02    0.321310462018186915E+00    0.231566176622015618E-01    0.142287528433314936E+00    0.250908763886692343E+01    0.754636067562544781E+03
    0.716570820531802752E+02    0.312544556905221760E+00    0.127881610160379577E+00    0.140124720848252393E+00    0.261547372964109659E+01    0.754761706614287505E+03
    0.722532624293058490E+02    0.286625826220326452E+00    0.121808536307549065E+00    0.135690285060368537E+00    0.237300417876413139E+01    0.754772822720074601E+03
    0.716516838764257926E+02    0.148032536474269866E+00    0.452233954373400082E+00    0.129141985375282126E+00    0.254338860304317471E+01    0.754796133368550613E+03
    0.721334413725036825E+02    0.213859902288621118E+00    0.314860472803294544E+00    0.145114083668565708E+00    0.252962382006395670E+01    0.754927436986268845E+03
    0.713986587245009616E+02    0.154840272698863635E+00    0.479753977595034464E+00    0.129069853799089890E+00    0.260427421116852198E+01    0.754945208143886134E+03
    0.720390426657081662E+02    0.323120494860416496E+00    0.690112667437653426E-01    0.125851265934219581E+00    0.250217111081823695E+01    0.754967180735182865E+03
    0.718046558102768557E+02    0.267057936832336862E+00    0.234838895481917276E+00    0.129157403835991447E+00    0.235143917339322028E+01    0.754987735089076182E+03
    0.714250467207727269E+02    0.363341754970256947E+00    0.749412045833901530E-01    0.133804264380598587E+00    0.250131378340591937E+01    0.755025650116745965E+03
    0.719779074620929009E+02    0.192752103301127575E+00    0.327449644944795115E+00    0.128656291442948628E+00    0.254044222017008892E+01    0.755034070268374421E+03
    0.715568493501896796E+02    0.226776233232279134E+00    0.304683247682194902E+00    0.143628577800027163E+00    0.248653339797980966E+01    0.755182308582685664E+03
    0.718345917965272776E+02    0.173164423170407505E+00    0.460859538469129970E+00    0.138539364080194072E+00    0.230718144662908209E+01    0.755231164744489092E+03
    0.720440618471389342E+02    0.397883363670766266E+00   -0.251734276149554459E-01    0.136624702003710630E+00    0.239240352992326111E+01    0.755252152632531875E+03
    0.716775020224241501E+02    0.186510814987315032E+00    0.485611870916819233E+00    0.132375620590957588E+00    0.246649233873090079E+01    0.755260798369129134E+03
    0.712740512656761496E+02    0.164352513754843943E+00    0.488778335645418838E+00    0.135118151091624589E+00    0.241378364707258619E+01    0.755324929734766442E+03
    0.716948105049934838E+02    0.296977997667759175E+00    0.153707397075014240E+00    0.144536230831021517E+00    0.254715019523584285E+01    0.755329990105437673E+03
    0.718147696447746142E+02    0.296970547683400143E+00    0.158034573637941156E+00    0.144179098149728929E+00    0.239983745028060591E+01    0.755366597555507042E+03
    0.722126018858013197E+02    0.324937390227728273E+00    0.116009801716987049E+00    0.143127722403299379E+00    0.245144378151434772E+01    0.755386787297610226E+03
    0.711613002080169395E+02    0.178447196920170581E+00    0.460503314013663290E+00    0.129673595994418189E+00    0.257060548912958176E+01    0.755484840842657263E+03
    0.713896834555247324E+02    0.257007341572778769E+00    0.302271635571525699E+00    0.135807064425176538E+00    0.237822448290245259E+01    0.755517250162533969E+03
    0.721979567338283630E+02    0.250436857546378400E+00    0.212411594699989381E+00    0.126502300179156008E+00    0.244987036979048334E+01    0.755529878078277648E+03
    0.720118029093399343E+02    0.333251933225685470E+00    0.507502929468252040E-01    0.136151183393256131E+00    0.240380929628984275E+01    0.755546784822097266E+03
    0.722309896799658588E+02    0.287475573578194421E+00    0.199955842503867998E+00    0.142604573672464346E+00    0.241097760118346116E+01    0.755561491360174387E+03
    0.719720475174601830E+02    0.216851733546948588E+00    0.291963037278436754E+00    0.126054212128159759E+00    0.252635044367313011E+01    0.755673294855461677E+03
    0.716518917334524730E+02    0.220271002206881894E+00    0.357005400742106294E+00    0.123979584731050474E+00    0.240650479755269942E+01    0.755676705545420191E+03
    0.715834628061214033E+02    0.346074606229812676E+00    0.704664480677470451E-01    0.132335755506706093E+00    0.256948671249745253E+01    0.755700890396310342E+03
    0.716835497985193939E+02    0.247086152118421221E+00    0.261811038020991704E+00    0.124486802918008385E+00    0.254453968798827246E+01    0.755702798075832220E+03
    0.718148495222117305E+02    0.155534749924582272E+00    0.442369200607474422E+00    0.127393286321197619E+00    0.254022027239455639E+01    0.755767291253068947E+03
    0.720731180525133084E+02    0.290099306817912961E+00    0.154547748535818874E+00    0.125920420800722022E+00    0.241820686275649166E+01    0.755791204587403399E+03
    0.721098445051368913E+02    0.300775336314528186E+00    0.156500969536844448E+00    0.136318476683655126E+00    0.231465841877797329E+01    0.755801467839204747E+03
    0.717620057188762530E+02    0.160195364843783661E+00    0.413312778148018811E+00    0.137079713788606200E+00    0.256906439773800344E+01    0.755802275875929581E+03
    0.720675422053479622E+02    0.140354010794533995E+00    0.448832434025378424E+00    0.134801605671062530E+00    0.243338892970934317E+01    0.755809978127404634E+03
    0.715463637288396512E+02    0.304690200029785974E+00    0.164072730759202701E+00    0.143096833202136370E+00    0.250222232675776546E+01    0.755824934057472319E+03
    0.717441375303927060E+02    0.298933516123627285E+00    0.177114104078706980E+00    0.133510501522363240E+00    0.235596523548161718E+01    0.755834438506735637E+03
    0.722145553236913287E+02    0.197265253396567308E+00    0.382062746859022861E+00    0.135998135678886301E+00    0.244148537232008378E+01    0.755838216084089595E+03
    0.718985420150636685E+02    0.331145619132279800E+00    0.136203741056833527E+00    0.131226253074670229E+00    0.234422845316180695E+01    0.755844766265319890E+03
    0.720429241802252989E+02    0.313463230206760368E+00    0.849619833169308336E-01    0.139062285884690301E+00    0.260116721457220601E+01    0.755888730822618299E+03
    0.717970035214601836E+02    0.345705221436537202E+00    0.796816086101407306E-01    0.127534424186889428E+00    0.242249828881684914E+01    0.755906679081713492E+03
    0.720317208849618567E+02    0.169325343032136699E+00    0.446913103884060026E+00    0.127882454203334356E+00    0.242213279672086124E+01    0.755934620869469313E+03
    0.717760403236264040E+02    0.335076502512102192E+00    0.113200804493340246E+00    0.140837421936181262E+00    0.256032394858638668E+01    0.755944556289933757E+03
    0.718479912667756224E+02    0.225122518752520873E+00    0.336060271417685463E+00    0.131742152958808811E+00    0.258933168877991537E+01    0.755957835591123853E+03
    0.715162107606695372E+02    0.227110556866343183E+00    0.423559295509920886E+00    0.133521901063173798E+00    0.237101719692648061E+01    0.755962259575761550E+03
    0.714007033804847424E+02    0.168837099258371925E+00    0.459429450555189356E+00    0.138380037153036345E+00    0.260139940717617346E+01    0.755973476571197352E+03
    0.712531683481532951E+02    0.172716898482305148E+00    0.498275101875562121E+00    0.125651748587961021E+00    0.244507165823491057E+01    0.755979649675257178E+03
    0.723091331138548270E+02    0.311678280871141244E+00    0.123274911979849966E+00    0.142653295649196099E+00    0.236168944848239803E+01    0.755981022920271471E+03
    0.716526702947748220E+02    0.160000545225130381E+00    0.424519324720159741E+00    0.138951555937994603E+00    0.253106565731806743E+01    0.756034857949180491E+03
    0.717052956625879574E+02    0.265563716566032504E+00    0.222148599164917582E+00    0.145737788218713193E+00    0.250532697353510425E+01    0.756039883754515586E+03
    0.719140667664648419E+02    0.257706731327300209E+00    0.224331499580717741E+00    0.147286242950655150E+00    0.249817852169873067E+01    0.756070538116244961E+03
    0.721085752612666795E+02    0.156837332431279258E+00    0.463668270659932324E+00    0.140365481354668836E+00    0.241716925930932147E+01    0.756084260825920637E+03
    0.711446351111024740E+02    0.230764115021669602E+00    0.434966394894859776E+00    0.131661396758827265E+00    0.245072119366194086E+01    0.756097636013120450E+03
    0.722204313292666740E+02    0.219838185261432006E+00    0.339049164679619985E+00    0.138972812887983743E+00    0.235974845226718433E+01    0.756108540852789588E+03
    0.715149240301477676E+02    0.210518665843665909E+00    0.424342936845943597E+00    0.136237088765961079E+00    0.255546115395752782E+01    0.756158043268299025E+03
    0.724567777253076741E+02    0.298457038803993935E+00    0.873104621909950307E-01    0.132350937156493237E+00    0.250292478961381981E+01    0.756159466702453756E+03
    0.721705177164222391E+02    0.180305565492013375E+00    0.364081892241762239E+00    0.131581111259608835E+00    0.241027536695004896E+01    0.756166480633900619E+03
    0.715669273891410711E+02    0.320754474958442948E+00    0.123969034333840544E+00    0.137821498854892005E+00    0.246891717020670765E+01    0.756172411089625029E+03
